"Year","Units","Sex","WorkingPattern","AgeGroup","WorkRegion","Occupation","Industry","Ethnicity","Impairment","Value","comment"
"2016","Median","Female","Full-Time","30-39","Total","Total","Total","Total","Total","27435","Total"
"2016","Median","Female","Full-Time","40-49","Total","Total","Total","Total","Total","27084","Total"
"2016","Median","Female","Full-Time","50-59","Total","Total","Total","Total","Total","25476","Total"
"2016","Median","Female","Full-Time","60+","Total","Total","Total","Total","Total","21910","Total"
"2016","Median","Female","Part-Time","Total","Total","Total","Total","Total","Total","9720","Total"
"2016","Median","Female","Part-Time","18-21","Total","Total","Total","Total","Total","4888","reasonably precise"
"2016","Median","Female","Part-Time","22-29","Total","Total","Total","Total","Total","8818","Total"
"2016","Median","Female","Part-Time","30-39","Total","Total","Total","Total","Total","10580","Total"
"2016","Median","Female","Part-Time","40-49","Total","Total","Total","Total","Total","10422","Total"
"2016","Median","Female","Part-Time","50-59","Total","Total","Total","Total","Total","10332","Total"
"2016","Median","Female","Part-Time","60+","Total","Total","Total","Total","Total","8594","Total"
"2017","Median","Total","Total","Total","Total","Total","Total","Total","Total","23484","Total"
"2017","Median","Total","Total","18-21","Total","Total","Total","Total","Total","9913","Total"
"2017","Median","Total","Total","22-29","Total","Total","Total","Total","Total","20555","Total"
"2017","Median","Total","Total","30-39","Total","Total","Total","Total","Total","25916","Total"
"2017","Median","Total","Total","40-49","Total","Total","Total","Total","Total","26660","Total"
"2017","Median","Total","Total","50-59","Total","Total","Total","Total","Total","25118","Total"
"2017","Median","Total","Total","60+","Total","Total","Total","Total","Total","18390","Total"
"2017","Median","Male","Total","Total","Total","Total","Total","Total","Total","28832","Total"
"2017","Median","Male","Total","18-21","Total","Total","Total","Total","Total","12095","Total"
"2017","Median","Male","Total","22-29","Total","Total","Total","Total","Total","22763","Total"
"2017","Median","Male","Total","30-39","Total","Total","Total","Total","Total","30248","Total"
"2017","Median","Male","Total","40-49","Total","Total","Total","Total","Total","33806","Total"
"2017","Median","Male","Total","50-59","Total","Total","Total","Total","Total","32464","Total"
"2017","Median","Male","Total","60+","Total","Total","Total","Total","Total","24221","Total"
"2017","Median","Female","Total","Total","Total","Total","Total","Total","Total","18238","Total"
"2017","Median","Female","Total","16-17","Total","Total","Total","Total","Total","2590","acceptable"
"2017","Median","Female","Total","18-21","Total","Total","Total","Total","Total","8053","Total"
"2017","Median","Female","Total","22-29","Total","Total","Total","Total","Total","18250","Total"
"2017","Median","Female","Total","30-39","Total","Total","Total","Total","Total","20672","Total"
"2017","Median","Female","Total","40-49","Total","Total","Total","Total","Total","19662","Total"
"2017","Median","Female","Total","50-59","Total","Total","Total","Total","Total","18852","Total"
"2017","Median","Female","Total","60+","Total","Total","Total","Total","Total","13112","Total"
"2017","Median","Total","Full-Time","Total","Total","Total","Total","Total","Total","28759","Total"
"2017","Median","Total","Full-Time","16-17","Total","Total","Total","Total","Total","7395","acceptable"
"2017","Median","Total","Full-Time","18-21","Total","Total","Total","Total","Total","15361","Total"
"2017","Median","Total","Full-Time","22-29","Total","Total","Total","Total","Total","23284","Total"
"2017","Median","Total","Full-Time","30-39","Total","Total","Total","Total","Total","30088","Total"
"2017","Median","Total","Full-Time","40-49","Total","Total","Total","Total","Total","32449","Total"
"2017","Median","Total","Full-Time","50-59","Total","Total","Total","Total","Total","30980","Total"
"2017","Median","Total","Full-Time","60+","Total","Total","Total","Total","Total","27068","Total"
"2017","Median","Total","Part-Time","Total","Total","Total","Total","Total","Total","9856","Total"
"2017","Median","Total","Part-Time","18-21","Total","Total","Total","Total","Total","5160","Total"
"2017","Median","Total","Part-Time","22-29","Total","Total","Total","Total","Total","9446","Total"
"2017","Median","Total","Part-Time","30-39","Total","Total","Total","Total","Total","10815","Total"
"2017","Median","Total","Part-Time","40-49","Total","Total","Total","Total","Total","10648","Total"
"2017","Median","Total","Part-Time","50-59","Total","Total","Total","Total","Total","10507","Total"
"2017","Median","Total","Part-Time","60+","Total","Total","Total","Total","Total","9037","Total"
"2017","Median","Male","Full-Time","Total","Total","Total","Total","Total","Total","31110","Total"
"2017","Median","Male","Full-Time","18-21","Total","Total","Total","Total","Total","16136","Total"
"2017","Median","Male","Full-Time","22-29","Total","Total","Total","Total","Total","24329","Total"
"2017","Median","Male","Full-Time","30-39","Total","Total","Total","Total","Total","31555","Total"
"2017","Median","Male","Full-Time","40-49","Total","Total","Total","Total","Total","35271","Total"
"2017","Median","Male","Full-Time","50-59","Total","Total","Total","Total","Total","34445","Total"
"2017","Median","Male","Full-Time","60+","Total","Total","Total","Total","Total","29338","Total"
"2017","Median","Male","Part-Time","Total","Total","Total","Total","Total","Total","9586","Total"
"2017","Median","Male","Part-Time","18-21","Total","Total","Total","Total","Total","5297","reasonably precise"
"2017","Median","Male","Part-Time","22-29","Total","Total","Total","Total","Total","9891","reasonably precise"
"2017","Median","Male","Part-Time","30-39","Total","Total","Total","Total","Total","10960","reasonably precise"
"2017","Median","Male","Part-Time","40-49","Total","Total","Total","Total","Total","10549","Total"
"2017","Median","Male","Part-Time","50-59","Total","Total","Total","Total","Total","10992","Total"
"2017","Median","Male","Part-Time","60+","Total","Total","Total","Total","Total","9755","Total"
"2017","Median","Female","Full-Time","Total","Total","Total","Total","Total","Total","25300","Total"
"2017","Median","Female","Full-Time","18-21","Total","Total","Total","Total","Total","14306","Total"
"2017","Median","Female","Full-Time","22-29","Total","Total","Total","Total","Total","22036","Total"
"2017","Median","Female","Full-Time","30-39","Total","Total","Total","Total","Total","27838","Total"
"2017","Median","Female","Full-Time","40-49","Total","Total","Total","Total","Total","27864","Total"
"2017","Median","Female","Full-Time","50-59","Total","Total","Total","Total","Total","26028","Total"
"2017","Median","Female","Full-Time","60+","Total","Total","Total","Total","Total","22643","Total"
"2017","Median","Female","Part-Time","Total","Total","Total","Total","Total","Total","9917","Total"
"2017","Median","Female","Part-Time","16-17","Total","Total","Total","Total","Total","2403","acceptable"
"2017","Median","Female","Part-Time","18-21","Total","Total","Total","Total","Total","5032","reasonably precise"
"2017","Median","Female","Part-Time","22-29","Total","Total","Total","Total","Total","9329","Total"
"2017","Median","Female","Part-Time","30-39","Total","Total","Total","Total","Total","10800","Total"
"2017","Median","Female","Part-Time","40-49","Total","Total","Total","Total","Total","10684","Total"
"2017","Median","Female","Part-Time","50-59","Total","Total","Total","Total","Total","10427","Total"
"2017","Median","Female","Part-Time","60+","Total","Total","Total","Total","Total","8793","Total"
"2018","Median","Total","Total","Total","Total","Total","Total","Total","Total","24003","Total"
"2018","Median","Total","Total","18-21","Total","Total","Total","Total","Total","9504","Total"
"2018","Median","Total","Total","22-29","Total","Total","Total","Total","Total","21447","Total"
"2018","Median","Total","Total","30-39","Total","Total","Total","Total","Total","26635","Total"
"2018","Median","Total","Total","40-49","Total","Total","Total","Total","Total","27749","Total"
"2018","Median","Total","Total","50-59","Total","Total","Total","Total","Total","25128","Total"
"2018","Median","Total","Total","60+","Total","Total","Total","Total","Total","18332","Total"
"2018","Median","Male","Total","Total","Total","Total","Total","Total","Total","29421","Total"
"2018","Median","Male","Total","18-21","Total","Total","Total","Total","Total","11595","Total"
"2018","Median","Male","Total","22-29","Total","Total","Total","Total","Total","23513","Total"
"2018","Median","Male","Total","30-39","Total","Total","Total","Total","Total","30985","Total"
"2018","Median","Male","Total","40-49","Total","Total","Total","Total","Total","34670","Total"
"2018","Median","Male","Total","50-59","Total","Total","Total","Total","Total","32351","Total"
"2018","Median","Male","Total","60+","Total","Total","Total","Total","Total","24694","Total"
"2018","Median","Female","Total","Total","Total","Total","Total","Total","Total","18740","Total"
"2018","Median","Female","Total","18-21","Total","Total","Total","Total","Total","7977","Total"
"2018","Median","Female","Total","22-29","Total","Total","Total","Total","Total","19120","Total"
"2018","Median","Female","Total","30-39","Total","Total","Total","Total","Total","21285","Total"
"2018","Median","Female","Total","40-49","Total","Total","Total","Total","Total","20694","Total"
"2018","Median","Female","Total","50-59","Total","Total","Total","Total","Total","18909","Total"
"2018","Median","Female","Total","60+","Total","Total","Total","Total","Total","13135","Total"
"2018","Median","Total","Full-Time","Total","Total","Total","Total","Total","Total","29559","Total"
"2018","Median","Total","Full-Time","18-21","Total","Total","Total","Total","Total","15706","Total"
"2018","Median","Total","Full-Time","22-29","Total","Total","Total","Total","Total","24153","Total"
"2018","Median","Total","Full-Time","30-39","Total","Total","Total","Total","Total","31029","Total"
"2018","Median","Total","Full-Time","40-49","Total","Total","Total","Total","Total","33547","Total"
"2018","Median","Total","Full-Time","50-59","Total","Total","Total","Total","Total","31098","Total"
"2018","Median","Total","Full-Time","60+","Total","Total","Total","Total","Total","27347","Total"
"2018","Median","Total","Part-Time","Total","Total","Total","Total","Total","Total","10134","Total"
"2018","Median","Total","Part-Time","18-21","Total","Total","Total","Total","Total","5528","Total"
"2018","Median","Total","Part-Time","22-29","Total","Total","Total","Total","Total","9657","Total"
"2018","Median","Total","Part-Time","30-39","Total","Total","Total","Total","Total","11190","Total"
"2018","Median","Total","Part-Time","40-49","Total","Total","Total","Total","Total","11081","Total"
"2018","Median","Total","Part-Time","50-59","Total","Total","Total","Total","Total","10812","Total"
"2018","Median","Total","Part-Time","60+","Total","Total","Total","Total","Total","9351","Total"
"2018","Median","Male","Full-Time","Total","Total","Total","Total","Total","Total","31831","Total"
"2018","Median","Male","Full-Time","18-21","Total","Total","Total","Total","Total","16556","Total"
"2018","Median","Male","Full-Time","22-29","Total","Total","Total","Total","Total","25036","Total"
"2018","Median","Male","Full-Time","30-39","Total","Total","Total","Total","Total","32448","Total"
"2018","Median","Male","Full-Time","40-49","Total","Total","Total","Total","Total","36471","Total"
"2018","Median","Male","Full-Time","50-59","Total","Total","Total","Total","Total","34374","Total"
"2018","Median","Male","Full-Time","60+","Total","Total","Total","Total","Total","29937","Total"
"2018","Median","Male","Part-Time","Total","Total","Total","Total","Total","Total","9978","Total"
"2018","Median","Male","Part-Time","18-21","Total","Total","Total","Total","Total","5807","reasonably precise"
"2018","Median","Male","Part-Time","22-29","Total","Total","Total","Total","Total","10339","Total"
"2018","Median","Male","Part-Time","30-39","Total","Total","Total","Total","Total","11499","Total"
"2018","Median","Male","Part-Time","40-49","Total","Total","Total","Total","Total","11115","Total"
"2018","Median","Male","Part-Time","50-59","Total","Total","Total","Total","Total","11321","Total"
"2018","Median","Male","Part-Time","60+","Total","Total","Total","Total","Total","10092","Total"
"2018","Median","Female","Full-Time","Total","Total","Total","Total","Total","Total","26089","Total"
"2018","Median","Female","Full-Time","18-21","Total","Total","Total","Total","Total","14832","Total"
"2018","Median","Female","Full-Time","22-29","Total","Total","Total","Total","Total","22911","Total"
"2018","Median","Female","Full-Time","30-39","Total","Total","Total","Total","Total","28817","Total"
"2018","Median","Female","Full-Time","40-49","Total","Total","Total","Total","Total","29005","Total"
"2018","Median","Female","Full-Time","50-59","Total","Total","Total","Total","Total","26288","Total"
"2018","Median","Female","Full-Time","60+","Total","Total","Total","Total","Total","22725","Total"
"2018","Median","Female","Part-Time","Total","Total","Total","Total","Total","Total","10183","Total"
"2018","Median","Female","Part-Time","18-21","Total","Total","Total","Total","Total","5304","reasonably precise"
"2018","Median","Female","Part-Time","22-29","Total","Total","Total","Total","Total","9360","Total"
"2018","Median","Female","Part-Time","30-39","Total","Total","Total","Total","Total","11124","Total"
"2018","Median","Female","Part-Time","40-49","Total","Total","Total","Total","Total","11072","Total"
"2018","Median","Female","Part-Time","50-59","Total","Total","Total","Total","Total","10710","Total"
"2018","Median","Female","Part-Time","60+","Total","Total","Total","Total","Total","9024","Total"
"2019","Median","Total","Total","Total","Total","Total","Total","Total","Total","24937","Total"
"2019","Median","Total","Total","16-17","Total","Total","Total","Total","Total","3198","acceptable"
"2019","Median","Total","Total","18-21","Total","Total","Total","Total","Total","10958","Total"
"2019","Median","Total","Total","22-29","Total","Total","Total","Total","Total","22437","Total"
"2019","Median","Total","Total","30-39","Total","Total","Total","Total","Total","27358","Total"
"2019","Median","Total","Total","40-49","Total","Total","Total","Total","Total","28881","Total"
"2019","Median","Total","Total","50-59","Total","Total","Total","Total","Total","26000","Total"
"2019","Median","Total","Total","60+","Total","Total","Total","Total","Total","19252","Total"
"2019","Median","Male","Total","Total","Total","Total","Total","Total","Total","30418","Total"
"2019","Median","Male","Total","18-21","Total","Total","Total","Total","Total","13245","Total"
"2019","Median","Male","Total","22-29","Total","Total","Total","Total","Total","24716","Total"
"2019","Median","Male","Total","30-39","Total","Total","Total","Total","Total","31907","Total"
"2019","Median","Male","Total","40-49","Total","Total","Total","Total","Total","35813","Total"
"2019","Median","Male","Total","50-59","Total","Total","Total","Total","Total","33509","Total"
"2019","Median","Male","Total","60+","Total","Total","Total","Total","Total","25329","Total"
"2019","Median","Female","Total","Total","Total","Total","Total","Total","Total","19578","Total"
"2019","Median","Female","Total","16-17","Total","Total","Total","Total","Total","2805","acceptable"
"2019","Median","Female","Total","18-21","Total","Total","Total","Total","Total","8932","reasonably precise"
"2019","Median","Female","Total","22-29","Total","Total","Total","Total","Total","20059","Total"
"2019","Median","Female","Total","30-39","Total","Total","Total","Total","Total","22000","Total"
"2019","Median","Female","Total","40-49","Total","Total","Total","Total","Total","21677","Total"
"2019","Median","Female","Total","50-59","Total","Total","Total","Total","Total","19597","Total"
"2019","Median","Female","Total","60+","Total","Total","Total","Total","Total","14000","Total"
"2019","Median","Total","Full-Time","Total","Total","Total","Total","Total","Total","30378","Total"
"2019","Median","Total","Full-Time","16-17","Total","Total","Total","Total","Total","8671","acceptable"
"2019","Median","Total","Full-Time","18-21","Total","Total","Total","Total","Total","16844","Total"
"2019","Median","Total","Full-Time","22-29","Total","Total","Total","Total","Total","25078","Total"
"2019","Median","Total","Full-Time","30-39","Total","Total","Total","Total","Total","31842","Total"
"2019","Median","Total","Full-Time","40-49","Total","Total","Total","Total","Total","34666","Total"
"2019","Median","Total","Full-Time","50-59","Total","Total","Total","Total","Total","32091","Total"
"2019","Median","Total","Full-Time","60+","Total","Total","Total","Total","Total","27929","Total"
"2019","Median","Total","Part-Time","Total","Total","Total","Total","Total","Total","10584","Total"
"2019","Median","Total","Part-Time","16-17","Total","Total","Total","Total","Total","2759","acceptable"
"2019","Median","Total","Part-Time","18-21","Total","Total","Total","Total","Total","6106","Total"
"2019","Median","Total","Part-Time","22-29","Total","Total","Total","Total","Total","9897","Total"
"2019","Median","Total","Part-Time","30-39","Total","Total","Total","Total","Total","11532","Total"
"2019","Median","Total","Part-Time","40-49","Total","Total","Total","Total","Total","11639","Total"
"2019","Median","Total","Part-Time","50-59","Total","Total","Total","Total","Total","11293","Total"
"2019","Median","Total","Part-Time","60+","Total","Total","Total","Total","Total","9832","Total"
"2019","Median","Male","Full-Time","Total","Total","Total","Total","Total","Total","32919","Total"
"2019","Median","Male","Full-Time","18-21","Total","Total","Total","Total","Total","17637","Total"
"2019","Median","Male","Full-Time","22-29","Total","Total","Total","Total","Total","26138","Total"
"2019","Median","Male","Full-Time","30-39","Total","Total","Total","Total","Total","33463","Total"
"2019","Median","Male","Full-Time","40-49","Total","Total","Total","Total","Total","37693","Total"
"2019","Median","Male","Full-Time","50-59","Total","Total","Total","Total","Total","35647","Total"
"2019","Median","Male","Full-Time","60+","Total","Total","Total","Total","Total","30964","Total"
"2019","Median","Male","Part-Time","Total","Total","Total","Total","Total","Total","10375","Total"
"2019","Median","Male","Part-Time","18-21","Total","Total","Total","Total","Total","6527","reasonably precise"
"2019","Median","Male","Part-Time","22-29","Total","Total","Total","Total","Total","10263","reasonably precise"
"2019","Median","Male","Part-Time","30-39","Total","Total","Total","Total","Total","11690","Total"
"2019","Median","Male","Part-Time","40-49","Total","Total","Total","Total","Total","11426","Total"
"2019","Median","Male","Part-Time","50-59","Total","Total","Total","Total","Total","11521","reasonably precise"
"2019","Median","Male","Part-Time","60+","Total","Total","Total","Total","Total","10565","Total"
"2019","Median","Female","Full-Time","Total","Total","Total","Total","Total","Total","26808","Total"
"2019","Median","Female","Full-Time","18-21","Total","Total","Total","Total","Total","15919","Total"
"2019","Median","Female","Full-Time","22-29","Total","Total","Total","Total","Total","23750","Total"
"2019","Median","Female","Full-Time","30-39","Total","Total","Total","Total","Total","29319","Total"
"2019","Median","Female","Full-Time","40-49","Total","Total","Total","Total","Total","30214","Total"
"2019","Median","Female","Full-Time","50-59","Total","Total","Total","Total","Total","27035","Total"
"2019","Median","Female","Full-Time","60+","Total","Total","Total","Total","Total","23356","Total"
"2019","Median","Female","Part-Time","Total","Total","Total","Total","Total","Total","10626","Total"
"2019","Median","Female","Part-Time","16-17","Total","Total","Total","Total","Total","2673","acceptable"
"2019","Median","Female","Part-Time","18-21","Total","Total","Total","Total","Total","5907","reasonably precise"
"2019","Median","Female","Part-Time","22-29","Total","Total","Total","Total","Total","9789","Total"
"2019","Median","Female","Part-Time","30-39","Total","Total","Total","Total","Total","11488","Total"
"2019","Median","Female","Part-Time","40-49","Total","Total","Total","Total","Total","11696","Total"
"2019","Median","Female","Part-Time","50-59","Total","Total","Total","Total","Total","11232","Total"
"2019","Median","Female","Part-Time","60+","Total","Total","Total","Total","Total","9483","Total"
"2020","Median","Total","Total","Total","Total","Total","Total","Total","Total","25780","Total"
"2020","Median","Total","Total","18-21","Total","Total","Total","Total","Total","11450","Total"
"2020","Median","Total","Total","22-29","Total","Total","Total","Total","Total","23662","Total"
"2020","Median","Total","Total","30-39","Total","Total","Total","Total","Total","28436","Total"
"2020","Median","Total","Total","40-49","Total","Total","Total","Total","Total","29763","Total"
"2020","Median","Total","Total","50-59","Total","Total","Total","Total","Total","26901","Total"
"2020","Median","Total","Total","60+","Total","Total","Total","Total","Total","19825","Total"
"2020","Median","Male","Total","Total","Total","Total","Total","Total","Total","31445","Total"
"2020","Median","Male","Total","18-21","Total","Total","Total","Total","Total","13357","Total"
"2020","Median","Male","Total","22-29","Total","Total","Total","Total","Total","25918","Total"
"2020","Median","Male","Total","30-39","Total","Total","Total","Total","Total","33120","Total"
"2020","Median","Male","Total","40-49","Total","Total","Total","Total","Total","37043","Total"
"2020","Median","Male","Total","50-59","Total","Total","Total","Total","Total","34685","Total"
"2020","Median","Male","Total","60+","Total","Total","Total","Total","Total","26190","Total"
"2020","Median","Female","Total","Total","Total","Total","Total","Total","Total","20515","Total"
"2020","Median","Female","Total","18-21","Total","Total","Total","Total","Total","9185","reasonably precise"
"2020","Median","Female","Total","22-29","Total","Total","Total","Total","Total","21093","Total"
"2020","Median","Female","Total","30-39","Total","Total","Total","Total","Total","22989","Total"
"2020","Median","Female","Total","40-49","Total","Total","Total","Total","Total","22567","Total"
"2020","Median","Female","Total","50-59","Total","Total","Total","Total","Total","20705","Total"
"2020","Median","Female","Total","60+","Total","Total","Total","Total","Total","14792","Total"
"2020","Median","Total","Full-Time","Total","Total","Total","Total","Total","Total","31461","Total"
"2020","Median","Total","Full-Time","16-17","Total","Total","Total","Total","Total","10910","reasonably precise"
"2020","Median","Total","Full-Time","18-21","Total","Total","Total","Total","Total","18087","Total"
"2020","Median","Total","Full-Time","22-29","Total","Total","Total","Total","Total","26096","Total"
"2020","Median","Total","Full-Time","30-39","Total","Total","Total","Total","Total","32965","Total"
"2020","Median","Total","Full-Time","40-49","Total","Total","Total","Total","Total","35904","Total"
"2020","Median","Total","Full-Time","50-59","Total","Total","Total","Total","Total","33231","Total"
"2020","Median","Total","Full-Time","60+","Total","Total","Total","Total","Total","28854","Total"
"2020","Median","Total","Part-Time","Total","Total","Total","Total","Total","Total","11234","Total"
"2020","Median","Total","Part-Time","18-21","Total","Total","Total","Total","Total","6514","Total"
"2020","Median","Total","Part-Time","22-29","Total","Total","Total","Total","Total","10507","Total"
"2020","Median","Total","Part-Time","30-39","Total","Total","Total","Total","Total","12167","Total"
"2020","Median","Total","Part-Time","40-49","Total","Total","Total","Total","Total","12284","Total"
"2020","Median","Total","Part-Time","50-59","Total","Total","Total","Total","Total","11914","Total"
"2020","Median","Total","Part-Time","60+","Total","Total","Total","Total","Total","10505","Total"
"2020","Median","Male","Full-Time","Total","Total","Total","Total","Total","Total","33923","Total"
"2020","Median","Male","Full-Time","16-17","Total","Total","Total","Total","Total","10973","acceptable"
"2020","Median","Male","Full-Time","18-21","Total","Total","Total","Total","Total","18447","Total"
"2020","Median","Male","Full-Time","22-29","Total","Total","Total","Total","Total","27220","Total"
"2020","Median","Male","Full-Time","30-39","Total","Total","Total","Total","Total","34567","Total"
"2020","Median","Male","Full-Time","40-49","Total","Total","Total","Total","Total","38829","Total"
"2020","Median","Male","Full-Time","50-59","Total","Total","Total","Total","Total","36983","Total"
"2020","Median","Male","Full-Time","60+","Total","Total","Total","Total","Total","31667","Total"
"2020","Median","Male","Part-Time","Total","Total","Total","Total","Total","Total","10893","Total"
"2020","Median","Male","Part-Time","18-21","Total","Total","Total","Total","Total","7089","reasonably precise"
"2020","Median","Male","Part-Time","22-29","Total","Total","Total","Total","Total","10868","reasonably precise"
"2020","Median","Male","Part-Time","30-39","Total","Total","Total","Total","Total","12219","reasonably precise"
"2020","Median","Male","Part-Time","40-49","Total","Total","Total","Total","Total","12456","Total"
"2020","Median","Male","Part-Time","50-59","Total","Total","Total","Total","Total","11968","Total"
"2020","Median","Male","Part-Time","60+","Total","Total","Total","Total","Total","11433","Total"
"2020","Median","Female","Full-Time","Total","Total","Total","Total","Total","Total","27981","Total"
"2020","Median","Female","Full-Time","18-21","Total","Total","Total","Total","Total","17831","Total"
"2020","Median","Female","Full-Time","22-29","Total","Total","Total","Total","Total","24740","Total"
"2020","Median","Female","Full-Time","30-39","Total","Total","Total","Total","Total","30258","Total"
"2020","Median","Female","Full-Time","40-49","Total","Total","Total","Total","Total","31403","Total"
"2020","Median","Female","Full-Time","50-59","Total","Total","Total","Total","Total","28556","Total"
"2020","Median","Female","Full-Time","60+","Total","Total","Total","Total","Total","23903","Total"
"2020","Median","Female","Part-Time","Total","Total","Total","Total","Total","Total","11312","Total"
"2020","Median","Female","Part-Time","18-21","Total","Total","Total","Total","Total","6125","reasonably precise"
"2020","Median","Female","Part-Time","22-29","Total","Total","Total","Total","Total","10406","Total"
"2020","Median","Female","Part-Time","30-39","Total","Total","Total","Total","Total","12161","Total"
"2020","Median","Female","Part-Time","40-49","Total","Total","Total","Total","Total","12239","Total"
"2020","Median","Female","Part-Time","50-59","Total","Total","Total","Total","Total","11903","Total"
"2020","Median","Female","Part-Time","60+","Total","Total","Total","Total","Total","10147","Total"
"2020","Median","Total","Total","Total","Total","Total","Total","Total","Total","25780","Total"
"2020","Median","Total","Total","Total","Total","Total","Agriculture, forestry and fishing","Total","Total","22769","reasonably precise"
"2020","Median","Total","Total","Total","Total","Total","Mining and quarrying","Total","Total","41728","reasonably precise"
"2020","Median","Total","Total","Total","Total","Total","Manufacturing","Total","Total","30358","Total"
"2020","Median","Total","Total","Total","Total","Total","Electricity, gas, steam and air conditioning supply","Total","Total","41180","Total"
"2020","Median","Total","Total","Total","Total","Total","Water supply; sewerage, waste management and remediation activities","Total","Total","33018","Total"
"2020","Median","Total","Total","Total","Total","Total","Construction","Total","Total","32892","Total"
"2020","Median","Total","Total","Total","Total","Total","Wholesale and retail trade; repair of motor vehicles and motorcycles","Total","Total","20279","Total"
"2020","Median","Total","Total","Total","Total","Total","Transportation and storage","Total","Total","30700","Total"
"2020","Median","Total","Total","Total","Total","Total","Accommodation and food service activities","Total","Total","13236","Total"
"2020","Median","Total","Total","Total","Total","Total","Information and communication","Total","Total","39734","Total"
