"Year","Units","Sex","WorkingPattern","AgeGroup","WorkRegion","Occupation","Industry","Ethnicity","Impairment","Value","comment"
"2016","Median","Total","Part-Time","18-21","","Total","Total",NA,NA,"5259","reasonably precise"
"2016","Median","Total","Part-Time","22-29","","Total","Total",NA,NA,"8958","Total"
"2016","Median","Total","Part-Time","30-39","","Total","Total",NA,NA,"10559","Total"
"2016","Median","Total","Part-Time","40-49","","Total","Total",NA,NA,"10400","Total"
"2016","Median","Total","Part-Time","50-59","","Total","Total",NA,NA,"10358","Total"
"2016","Median","Total","Part-Time","60+","","Total","Total",NA,NA,"8874","Total"
"2016","Median","Male","Full-Time","Total","","Total","Total",NA,NA,"30550","Total"
"2016","Median","Male","Full-Time","16-17","","Total","Total",NA,NA,NA,"unacceptable"
"2016","Median","Male","Full-Time","18-21","","Total","Total",NA,NA,"15418","Total"
"2016","Median","Male","Full-Time","22-29","","Total","Total",NA,NA,"23660","Total"
"2016","Median","Male","Full-Time","30-39","","Total","Total",NA,NA,"30946","Total"
"2016","Median","Male","Full-Time","40-49","","Total","Total",NA,NA,"34703","Total"
"2016","Median","Male","Full-Time","50-59","","Total","Total",NA,NA,"33585","Total"
"2016","Median","Male","Full-Time","60+","","Total","Total",NA,NA,"28604","Total"
"2016","Median","Male","Part-Time","Total","","Total","Total",NA,NA,"9270","Total"
"2016","Median","Male","Part-Time","16-17","","Total","Total",NA,NA,NA,"unacceptable"
"2016","Median","Male","Part-Time","18-21","","Total","Total",NA,NA,"5639","reasonably precise"
"2016","Median","Male","Part-Time","22-29","","Total","Total",NA,NA,"9176","reasonably precise"
"2016","Median","Male","Part-Time","30-39","","Total","Total",NA,NA,"10405","Total"
"2016","Median","Male","Part-Time","40-49","","Total","Total",NA,NA,"10178","Total"
"2016","Median","Male","Part-Time","50-59","","Total","Total",NA,NA,"10408","Total"
"2016","Median","Male","Part-Time","60+","","Total","Total",NA,NA,"9810","Total"
"2016","Median","Female","Full-Time","Total","","Total","Total",NA,NA,"24831","Total"
"2016","Median","Female","Full-Time","16-17","","Total","Total",NA,NA,NA,"unacceptable"
"2016","Median","Female","Full-Time","18-21","","Total","Total",NA,NA,"13787","Total"
"2016","Median","Female","Full-Time","22-29","","Total","Total",NA,NA,"21606","Total"
"2016","Median","Female","Full-Time","30-39","","Total","Total",NA,NA,"27435","Total"
"2016","Median","Female","Full-Time","40-49","","Total","Total",NA,NA,"27084","Total"
"2016","Median","Female","Full-Time","50-59","","Total","Total",NA,NA,"25476","Total"
"2016","Median","Female","Full-Time","60+","","Total","Total",NA,NA,"21910","Total"
"2016","Median","Female","Part-Time","Total","","Total","Total",NA,NA,"9720","Total"
"2016","Median","Female","Part-Time","16-17","","Total","Total",NA,NA,NA,"unacceptable"
"2016","Median","Female","Part-Time","18-21","","Total","Total",NA,NA,"4888","reasonably precise"
"2016","Median","Female","Part-Time","22-29","","Total","Total",NA,NA,"8818","Total"
"2016","Median","Female","Part-Time","30-39","","Total","Total",NA,NA,"10580","Total"
"2016","Median","Female","Part-Time","40-49","","Total","Total",NA,NA,"10422","Total"
"2016","Median","Female","Part-Time","50-59","","Total","Total",NA,NA,"10332","Total"
"2016","Median","Female","Part-Time","60+","","Total","Total",NA,NA,"8594","Total"
"2017","Median","Total","Total","Total","","Total","Total",NA,NA,"23484","Total"
"2017","Median","Total","Total","16-17","","Total","Total",NA,NA,NA,"unacceptable"
"2017","Median","Total","Total","18-21","","Total","Total",NA,NA,"9913","Total"
"2017","Median","Total","Total","22-29","","Total","Total",NA,NA,"20555","Total"
"2017","Median","Total","Total","30-39","","Total","Total",NA,NA,"25916","Total"
"2017","Median","Total","Total","40-49","","Total","Total",NA,NA,"26660","Total"
"2017","Median","Total","Total","50-59","","Total","Total",NA,NA,"25118","Total"
"2017","Median","Total","Total","60+","","Total","Total",NA,NA,"18390","Total"
"2017","Median","Male","Total","Total","","Total","Total",NA,NA,"28832","Total"
"2017","Median","Male","Total","16-17","","Total","Total",NA,NA,NA,"unacceptable"
"2017","Median","Male","Total","18-21","","Total","Total",NA,NA,"12095","Total"
"2017","Median","Male","Total","22-29","","Total","Total",NA,NA,"22763","Total"
"2017","Median","Male","Total","30-39","","Total","Total",NA,NA,"30248","Total"
"2017","Median","Male","Total","40-49","","Total","Total",NA,NA,"33806","Total"
"2017","Median","Male","Total","50-59","","Total","Total",NA,NA,"32464","Total"
"2017","Median","Male","Total","60+","","Total","Total",NA,NA,"24221","Total"
"2017","Median","Female","Total","Total","","Total","Total",NA,NA,"18238","Total"
"2017","Median","Female","Total","16-17","","Total","Total",NA,NA,"2590","acceptable"
"2017","Median","Female","Total","18-21","","Total","Total",NA,NA,"8053","Total"
"2017","Median","Female","Total","22-29","","Total","Total",NA,NA,"18250","Total"
"2017","Median","Female","Total","30-39","","Total","Total",NA,NA,"20672","Total"
"2017","Median","Female","Total","40-49","","Total","Total",NA,NA,"19662","Total"
"2017","Median","Female","Total","50-59","","Total","Total",NA,NA,"18852","Total"
"2017","Median","Female","Total","60+","","Total","Total",NA,NA,"13112","Total"
"2017","Median","Total","Full-Time","Total","","Total","Total",NA,NA,"28759","Total"
"2017","Median","Total","Full-Time","16-17","","Total","Total",NA,NA,"7395","acceptable"
"2017","Median","Total","Full-Time","18-21","","Total","Total",NA,NA,"15361","Total"
"2017","Median","Total","Full-Time","22-29","","Total","Total",NA,NA,"23284","Total"
"2017","Median","Total","Full-Time","30-39","","Total","Total",NA,NA,"30088","Total"
"2017","Median","Total","Full-Time","40-49","","Total","Total",NA,NA,"32449","Total"
"2017","Median","Total","Full-Time","50-59","","Total","Total",NA,NA,"30980","Total"
"2017","Median","Total","Full-Time","60+","","Total","Total",NA,NA,"27068","Total"
"2017","Median","Total","Part-Time","Total","","Total","Total",NA,NA,"9856","Total"
"2017","Median","Total","Part-Time","16-17","","Total","Total",NA,NA,NA,"unacceptable"
"2017","Median","Total","Part-Time","18-21","","Total","Total",NA,NA,"5160","Total"
"2017","Median","Total","Part-Time","22-29","","Total","Total",NA,NA,"9446","Total"
"2017","Median","Total","Part-Time","30-39","","Total","Total",NA,NA,"10815","Total"
"2017","Median","Total","Part-Time","40-49","","Total","Total",NA,NA,"10648","Total"
"2017","Median","Total","Part-Time","50-59","","Total","Total",NA,NA,"10507","Total"
"2017","Median","Total","Part-Time","60+","","Total","Total",NA,NA,"9037","Total"
"2017","Median","Male","Full-Time","Total","","Total","Total",NA,NA,"31110","Total"
"2017","Median","Male","Full-Time","16-17","","Total","Total",NA,NA,NA,"unacceptable"
"2017","Median","Male","Full-Time","18-21","","Total","Total",NA,NA,"16136","Total"
"2017","Median","Male","Full-Time","22-29","","Total","Total",NA,NA,"24329","Total"
"2017","Median","Male","Full-Time","30-39","","Total","Total",NA,NA,"31555","Total"
"2017","Median","Male","Full-Time","40-49","","Total","Total",NA,NA,"35271","Total"
"2017","Median","Male","Full-Time","50-59","","Total","Total",NA,NA,"34445","Total"
"2017","Median","Male","Full-Time","60+","","Total","Total",NA,NA,"29338","Total"
"2017","Median","Male","Part-Time","Total","","Total","Total",NA,NA,"9586","Total"
"2017","Median","Male","Part-Time","16-17","","Total","Total",NA,NA,NA,"unacceptable"
"2017","Median","Male","Part-Time","18-21","","Total","Total",NA,NA,"5297","reasonably precise"
"2017","Median","Male","Part-Time","22-29","","Total","Total",NA,NA,"9891","reasonably precise"
"2017","Median","Male","Part-Time","30-39","","Total","Total",NA,NA,"10960","reasonably precise"
"2017","Median","Male","Part-Time","40-49","","Total","Total",NA,NA,"10549","Total"
"2017","Median","Male","Part-Time","50-59","","Total","Total",NA,NA,"10992","Total"
"2017","Median","Male","Part-Time","60+","","Total","Total",NA,NA,"9755","Total"
"2017","Median","Female","Full-Time","Total","","Total","Total",NA,NA,"25300","Total"
"2017","Median","Female","Full-Time","16-17","","Total","Total",NA,NA,NA,"unacceptable"
"2017","Median","Female","Full-Time","18-21","","Total","Total",NA,NA,"14306","Total"
"2017","Median","Female","Full-Time","22-29","","Total","Total",NA,NA,"22036","Total"
"2017","Median","Female","Full-Time","30-39","","Total","Total",NA,NA,"27838","Total"
"2017","Median","Female","Full-Time","40-49","","Total","Total",NA,NA,"27864","Total"
"2017","Median","Female","Full-Time","50-59","","Total","Total",NA,NA,"26028","Total"
"2017","Median","Female","Full-Time","60+","","Total","Total",NA,NA,"22643","Total"
"2017","Median","Female","Part-Time","Total","","Total","Total",NA,NA,"9917","Total"
"2017","Median","Female","Part-Time","16-17","","Total","Total",NA,NA,"2403","acceptable"
"2017","Median","Female","Part-Time","18-21","","Total","Total",NA,NA,"5032","reasonably precise"
"2017","Median","Female","Part-Time","22-29","","Total","Total",NA,NA,"9329","Total"
"2017","Median","Female","Part-Time","30-39","","Total","Total",NA,NA,"10800","Total"
"2017","Median","Female","Part-Time","40-49","","Total","Total",NA,NA,"10684","Total"
"2017","Median","Female","Part-Time","50-59","","Total","Total",NA,NA,"10427","Total"
"2017","Median","Female","Part-Time","60+","","Total","Total",NA,NA,"8793","Total"
"2018","Median","Total","Total","Total","","Total","Total",NA,NA,"24003","Total"
"2018","Median","Total","Total","16-17","","Total","Total",NA,NA,NA,"unacceptable"
"2018","Median","Total","Total","18-21","","Total","Total",NA,NA,"9504","Total"
"2018","Median","Total","Total","22-29","","Total","Total",NA,NA,"21447","Total"
"2018","Median","Total","Total","30-39","","Total","Total",NA,NA,"26635","Total"
"2018","Median","Total","Total","40-49","","Total","Total",NA,NA,"27749","Total"
"2018","Median","Total","Total","50-59","","Total","Total",NA,NA,"25128","Total"
"2018","Median","Total","Total","60+","","Total","Total",NA,NA,"18332","Total"
"2018","Median","Male","Total","Total","","Total","Total",NA,NA,"29421","Total"
"2018","Median","Male","Total","16-17","","Total","Total",NA,NA,NA,"unacceptable"
"2018","Median","Male","Total","18-21","","Total","Total",NA,NA,"11595","Total"
"2018","Median","Male","Total","22-29","","Total","Total",NA,NA,"23513","Total"
"2018","Median","Male","Total","30-39","","Total","Total",NA,NA,"30985","Total"
"2018","Median","Male","Total","40-49","","Total","Total",NA,NA,"34670","Total"
"2018","Median","Male","Total","50-59","","Total","Total",NA,NA,"32351","Total"
"2018","Median","Male","Total","60+","","Total","Total",NA,NA,"24694","Total"
"2018","Median","Female","Total","Total","","Total","Total",NA,NA,"18740","Total"
"2018","Median","Female","Total","16-17","","Total","Total",NA,NA,NA,"unacceptable"
"2018","Median","Female","Total","18-21","","Total","Total",NA,NA,"7977","Total"
"2018","Median","Female","Total","22-29","","Total","Total",NA,NA,"19120","Total"
"2018","Median","Female","Total","30-39","","Total","Total",NA,NA,"21285","Total"
"2018","Median","Female","Total","40-49","","Total","Total",NA,NA,"20694","Total"
"2018","Median","Female","Total","50-59","","Total","Total",NA,NA,"18909","Total"
"2018","Median","Female","Total","60+","","Total","Total",NA,NA,"13135","Total"
"2018","Median","Total","Full-Time","Total","","Total","Total",NA,NA,"29559","Total"
"2018","Median","Total","Full-Time","16-17","","Total","Total",NA,NA,NA,"unacceptable"
"2018","Median","Total","Full-Time","18-21","","Total","Total",NA,NA,"15706","Total"
"2018","Median","Total","Full-Time","22-29","","Total","Total",NA,NA,"24153","Total"
"2018","Median","Total","Full-Time","30-39","","Total","Total",NA,NA,"31029","Total"
"2018","Median","Total","Full-Time","40-49","","Total","Total",NA,NA,"33547","Total"
"2018","Median","Total","Full-Time","50-59","","Total","Total",NA,NA,"31098","Total"
"2018","Median","Total","Full-Time","60+","","Total","Total",NA,NA,"27347","Total"
"2018","Median","Total","Part-Time","Total","","Total","Total",NA,NA,"10134","Total"
"2018","Median","Total","Part-Time","16-17","","Total","Total",NA,NA,NA,"unacceptable"
"2018","Median","Total","Part-Time","18-21","","Total","Total",NA,NA,"5528","Total"
"2018","Median","Total","Part-Time","22-29","","Total","Total",NA,NA,"9657","Total"
"2018","Median","Total","Part-Time","30-39","","Total","Total",NA,NA,"11190","Total"
"2018","Median","Total","Part-Time","40-49","","Total","Total",NA,NA,"11081","Total"
"2018","Median","Total","Part-Time","50-59","","Total","Total",NA,NA,"10812","Total"
"2018","Median","Total","Part-Time","60+","","Total","Total",NA,NA,"9351","Total"
"2018","Median","Male","Full-Time","Total","","Total","Total",NA,NA,"31831","Total"
"2018","Median","Male","Full-Time","16-17","","Total","Total",NA,NA,NA,"unacceptable"
"2018","Median","Male","Full-Time","18-21","","Total","Total",NA,NA,"16556","Total"
"2018","Median","Male","Full-Time","22-29","","Total","Total",NA,NA,"25036","Total"
"2018","Median","Male","Full-Time","30-39","","Total","Total",NA,NA,"32448","Total"
"2018","Median","Male","Full-Time","40-49","","Total","Total",NA,NA,"36471","Total"
"2018","Median","Male","Full-Time","50-59","","Total","Total",NA,NA,"34374","Total"
"2018","Median","Male","Full-Time","60+","","Total","Total",NA,NA,"29937","Total"
"2018","Median","Male","Part-Time","Total","","Total","Total",NA,NA,"9978","Total"
"2018","Median","Male","Part-Time","16-17","","Total","Total",NA,NA,NA,"unacceptable"
"2018","Median","Male","Part-Time","18-21","","Total","Total",NA,NA,"5807","reasonably precise"
"2018","Median","Male","Part-Time","22-29","","Total","Total",NA,NA,"10339","Total"
"2018","Median","Male","Part-Time","30-39","","Total","Total",NA,NA,"11499","Total"
"2018","Median","Male","Part-Time","40-49","","Total","Total",NA,NA,"11115","Total"
"2018","Median","Male","Part-Time","50-59","","Total","Total",NA,NA,"11321","Total"
"2018","Median","Male","Part-Time","60+","","Total","Total",NA,NA,"10092","Total"
"2018","Median","Female","Full-Time","Total","","Total","Total",NA,NA,"26089","Total"
"2018","Median","Female","Full-Time","16-17","","Total","Total",NA,NA,NA,"unacceptable"
"2018","Median","Female","Full-Time","18-21","","Total","Total",NA,NA,"14832","Total"
"2018","Median","Female","Full-Time","22-29","","Total","Total",NA,NA,"22911","Total"
"2018","Median","Female","Full-Time","30-39","","Total","Total",NA,NA,"28817","Total"
"2018","Median","Female","Full-Time","40-49","","Total","Total",NA,NA,"29005","Total"
"2018","Median","Female","Full-Time","50-59","","Total","Total",NA,NA,"26288","Total"
"2018","Median","Female","Full-Time","60+","","Total","Total",NA,NA,"22725","Total"
"2018","Median","Female","Part-Time","Total","","Total","Total",NA,NA,"10183","Total"
"2018","Median","Female","Part-Time","16-17","","Total","Total",NA,NA,NA,"unacceptable"
"2018","Median","Female","Part-Time","18-21","","Total","Total",NA,NA,"5304","reasonably precise"
"2018","Median","Female","Part-Time","22-29","","Total","Total",NA,NA,"9360","Total"
"2018","Median","Female","Part-Time","30-39","","Total","Total",NA,NA,"11124","Total"
"2018","Median","Female","Part-Time","40-49","","Total","Total",NA,NA,"11072","Total"
"2018","Median","Female","Part-Time","50-59","","Total","Total",NA,NA,"10710","Total"
"2018","Median","Female","Part-Time","60+","","Total","Total",NA,NA,"9024","Total"
"2019","Median","Total","Total","Total","","Total","Total",NA,NA,"24937","Total"
"2019","Median","Total","Total","16-17","","Total","Total",NA,NA,"3198","acceptable"
"2019","Median","Total","Total","18-21","","Total","Total",NA,NA,"10958","Total"
"2019","Median","Total","Total","22-29","","Total","Total",NA,NA,"22437","Total"
"2019","Median","Total","Total","30-39","","Total","Total",NA,NA,"27358","Total"
"2019","Median","Total","Total","40-49","","Total","Total",NA,NA,"28881","Total"
"2019","Median","Total","Total","50-59","","Total","Total",NA,NA,"26000","Total"
"2019","Median","Total","Total","60+","","Total","Total",NA,NA,"19252","Total"
"2019","Median","Male","Total","Total","","Total","Total",NA,NA,"30418","Total"
"2019","Median","Male","Total","16-17","","Total","Total",NA,NA,NA,"unacceptable"
"2019","Median","Male","Total","18-21","","Total","Total",NA,NA,"13245","Total"
"2019","Median","Male","Total","22-29","","Total","Total",NA,NA,"24716","Total"
"2019","Median","Male","Total","30-39","","Total","Total",NA,NA,"31907","Total"
"2019","Median","Male","Total","40-49","","Total","Total",NA,NA,"35813","Total"
"2019","Median","Male","Total","50-59","","Total","Total",NA,NA,"33509","Total"
"2019","Median","Male","Total","60+","","Total","Total",NA,NA,"25329","Total"
"2019","Median","Female","Total","Total","","Total","Total",NA,NA,"19578","Total"
"2019","Median","Female","Total","16-17","","Total","Total",NA,NA,"2805","acceptable"
"2019","Median","Female","Total","18-21","","Total","Total",NA,NA,"8932","reasonably precise"
"2019","Median","Female","Total","22-29","","Total","Total",NA,NA,"20059","Total"
"2019","Median","Female","Total","30-39","","Total","Total",NA,NA,"22000","Total"
"2019","Median","Female","Total","40-49","","Total","Total",NA,NA,"21677","Total"
"2019","Median","Female","Total","50-59","","Total","Total",NA,NA,"19597","Total"
"2019","Median","Female","Total","60+","","Total","Total",NA,NA,"14000","Total"
"2019","Median","Total","Full-Time","Total","","Total","Total",NA,NA,"30378","Total"
"2019","Median","Total","Full-Time","16-17","","Total","Total",NA,NA,"8671","acceptable"
"2019","Median","Total","Full-Time","18-21","","Total","Total",NA,NA,"16844","Total"
"2019","Median","Total","Full-Time","22-29","","Total","Total",NA,NA,"25078","Total"
"2019","Median","Total","Full-Time","30-39","","Total","Total",NA,NA,"31842","Total"
"2019","Median","Total","Full-Time","40-49","","Total","Total",NA,NA,"34666","Total"
"2019","Median","Total","Full-Time","50-59","","Total","Total",NA,NA,"32091","Total"
"2019","Median","Total","Full-Time","60+","","Total","Total",NA,NA,"27929","Total"
"2019","Median","Total","Part-Time","Total","","Total","Total",NA,NA,"10584","Total"
"2019","Median","Total","Part-Time","16-17","","Total","Total",NA,NA,"2759","acceptable"
"2019","Median","Total","Part-Time","18-21","","Total","Total",NA,NA,"6106","Total"
"2019","Median","Total","Part-Time","22-29","","Total","Total",NA,NA,"9897","Total"
"2019","Median","Total","Part-Time","30-39","","Total","Total",NA,NA,"11532","Total"
"2019","Median","Total","Part-Time","40-49","","Total","Total",NA,NA,"11639","Total"
"2019","Median","Total","Part-Time","50-59","","Total","Total",NA,NA,"11293","Total"
"2019","Median","Total","Part-Time","60+","","Total","Total",NA,NA,"9832","Total"
"2019","Median","Male","Full-Time","Total","","Total","Total",NA,NA,"32919","Total"
"2019","Median","Male","Full-Time","16-17","","Total","Total",NA,NA,NA,"unacceptable"
"2019","Median","Male","Full-Time","18-21","","Total","Total",NA,NA,"17637","Total"
"2019","Median","Male","Full-Time","22-29","","Total","Total",NA,NA,"26138","Total"
"2019","Median","Male","Full-Time","30-39","","Total","Total",NA,NA,"33463","Total"
"2019","Median","Male","Full-Time","40-49","","Total","Total",NA,NA,"37693","Total"
"2019","Median","Male","Full-Time","50-59","","Total","Total",NA,NA,"35647","Total"
"2019","Median","Male","Full-Time","60+","","Total","Total",NA,NA,"30964","Total"
"2019","Median","Male","Part-Time","Total","","Total","Total",NA,NA,"10375","Total"
"2019","Median","Male","Part-Time","16-17","","Total","Total",NA,NA,NA,"unacceptable"
"2019","Median","Male","Part-Time","18-21","","Total","Total",NA,NA,"6527","reasonably precise"
"2019","Median","Male","Part-Time","22-29","","Total","Total",NA,NA,"10263","reasonably precise"
"2019","Median","Male","Part-Time","30-39","","Total","Total",NA,NA,"11690","Total"
"2019","Median","Male","Part-Time","40-49","","Total","Total",NA,NA,"11426","Total"
"2019","Median","Male","Part-Time","50-59","","Total","Total",NA,NA,"11521","reasonably precise"
"2019","Median","Male","Part-Time","60+","","Total","Total",NA,NA,"10565","Total"
"2019","Median","Female","Full-Time","Total","","Total","Total",NA,NA,"26808","Total"
"2019","Median","Female","Full-Time","16-17","","Total","Total",NA,NA,NA,"unacceptable"
"2019","Median","Female","Full-Time","18-21","","Total","Total",NA,NA,"15919","Total"
"2019","Median","Female","Full-Time","22-29","","Total","Total",NA,NA,"23750","Total"
"2019","Median","Female","Full-Time","30-39","","Total","Total",NA,NA,"29319","Total"
"2019","Median","Female","Full-Time","40-49","","Total","Total",NA,NA,"30214","Total"
"2019","Median","Female","Full-Time","50-59","","Total","Total",NA,NA,"27035","Total"
"2019","Median","Female","Full-Time","60+","","Total","Total",NA,NA,"23356","Total"
"2019","Median","Female","Part-Time","Total","","Total","Total",NA,NA,"10626","Total"
"2019","Median","Female","Part-Time","16-17","","Total","Total",NA,NA,"2673","acceptable"
"2019","Median","Female","Part-Time","18-21","","Total","Total",NA,NA,"5907","reasonably precise"
"2019","Median","Female","Part-Time","22-29","","Total","Total",NA,NA,"9789","Total"
"2019","Median","Female","Part-Time","30-39","","Total","Total",NA,NA,"11488","Total"
"2019","Median","Female","Part-Time","40-49","","Total","Total",NA,NA,"11696","Total"
"2019","Median","Female","Part-Time","50-59","","Total","Total",NA,NA,"11232","Total"
"2019","Median","Female","Part-Time","60+","","Total","Total",NA,NA,"9483","Total"
"2020","Median","Total","Total","Total","","Total","Total",NA,NA,"25780","Total"
"2020","Median","Total","Total","16-17","","Total","Total",NA,NA,NA,"unacceptable"
"2020","Median","Total","Total","18-21","","Total","Total",NA,NA,"11450","Total"
"2020","Median","Total","Total","22-29","","Total","Total",NA,NA,"23662","Total"
"2020","Median","Total","Total","30-39","","Total","Total",NA,NA,"28436","Total"
"2020","Median","Total","Total","40-49","","Total","Total",NA,NA,"29763","Total"
"2020","Median","Total","Total","50-59","","Total","Total",NA,NA,"26901","Total"
"2020","Median","Total","Total","60+","","Total","Total",NA,NA,"19825","Total"
"2020","Median","Male","Total","Total","","Total","Total",NA,NA,"31445","Total"
"2020","Median","Male","Total","16-17","","Total","Total",NA,NA,NA,"unacceptable"
"2020","Median","Male","Total","18-21","","Total","Total",NA,NA,"13357","Total"
"2020","Median","Male","Total","22-29","","Total","Total",NA,NA,"25918","Total"
"2020","Median","Male","Total","30-39","","Total","Total",NA,NA,"33120","Total"
"2020","Median","Male","Total","40-49","","Total","Total",NA,NA,"37043","Total"
"2020","Median","Male","Total","50-59","","Total","Total",NA,NA,"34685","Total"
"2020","Median","Male","Total","60+","","Total","Total",NA,NA,"26190","Total"
"2020","Median","Female","Total","Total","","Total","Total",NA,NA,"20515","Total"
"2020","Median","Female","Total","16-17","","Total","Total",NA,NA,NA,"unacceptable"
"2020","Median","Female","Total","18-21","","Total","Total",NA,NA,"9185","reasonably precise"
"2020","Median","Female","Total","22-29","","Total","Total",NA,NA,"21093","Total"
"2020","Median","Female","Total","30-39","","Total","Total",NA,NA,"22989","Total"
"2020","Median","Female","Total","40-49","","Total","Total",NA,NA,"22567","Total"
"2020","Median","Female","Total","50-59","","Total","Total",NA,NA,"20705","Total"
"2020","Median","Female","Total","60+","","Total","Total",NA,NA,"14792","Total"
"2020","Median","Total","Full-Time","Total","","Total","Total",NA,NA,"31461","Total"
"2020","Median","Total","Full-Time","16-17","","Total","Total",NA,NA,"10910","reasonably precise"
"2020","Median","Total","Full-Time","18-21","","Total","Total",NA,NA,"18087","Total"
"2020","Median","Total","Full-Time","22-29","","Total","Total",NA,NA,"26096","Total"
"2020","Median","Total","Full-Time","30-39","","Total","Total",NA,NA,"32965","Total"
"2020","Median","Total","Full-Time","40-49","","Total","Total",NA,NA,"35904","Total"
"2020","Median","Total","Full-Time","50-59","","Total","Total",NA,NA,"33231","Total"
"2020","Median","Total","Full-Time","60+","","Total","Total",NA,NA,"28854","Total"
"2020","Median","Total","Part-Time","Total","","Total","Total",NA,NA,"11234","Total"
"2020","Median","Total","Part-Time","16-17","","Total","Total",NA,NA,NA,"unacceptable"
"2020","Median","Total","Part-Time","18-21","","Total","Total",NA,NA,"6514","Total"
"2020","Median","Total","Part-Time","22-29","","Total","Total",NA,NA,"10507","Total"
"2020","Median","Total","Part-Time","30-39","","Total","Total",NA,NA,"12167","Total"
"2020","Median","Total","Part-Time","40-49","","Total","Total",NA,NA,"12284","Total"
"2020","Median","Total","Part-Time","50-59","","Total","Total",NA,NA,"11914","Total"
"2020","Median","Total","Part-Time","60+","","Total","Total",NA,NA,"10505","Total"
"2020","Median","Male","Full-Time","Total","","Total","Total",NA,NA,"33923","Total"
"2020","Median","Male","Full-Time","16-17","","Total","Total",NA,NA,"10973","acceptable"
"2020","Median","Male","Full-Time","18-21","","Total","Total",NA,NA,"18447","Total"
"2020","Median","Male","Full-Time","22-29","","Total","Total",NA,NA,"27220","Total"
"2020","Median","Male","Full-Time","30-39","","Total","Total",NA,NA,"34567","Total"
"2020","Median","Male","Full-Time","40-49","","Total","Total",NA,NA,"38829","Total"
"2020","Median","Male","Full-Time","50-59","","Total","Total",NA,NA,"36983","Total"
"2020","Median","Male","Full-Time","60+","","Total","Total",NA,NA,"31667","Total"
"2020","Median","Male","Part-Time","Total","","Total","Total",NA,NA,"10893","Total"
"2020","Median","Male","Part-Time","16-17","","Total","Total",NA,NA,NA,"unacceptable"
"2020","Median","Male","Part-Time","18-21","","Total","Total",NA,NA,"7089","reasonably precise"
"2020","Median","Male","Part-Time","22-29","","Total","Total",NA,NA,"10868","reasonably precise"
"2020","Median","Male","Part-Time","30-39","","Total","Total",NA,NA,"12219","reasonably precise"
"2020","Median","Male","Part-Time","40-49","","Total","Total",NA,NA,"12456","Total"
"2020","Median","Male","Part-Time","50-59","","Total","Total",NA,NA,"11968","Total"
"2020","Median","Male","Part-Time","60+","","Total","Total",NA,NA,"11433","Total"
